years,rank,logo,country,brand,sales
2016-05,25,https://i.img16888.com/carlogo75/57620.gif,中国,江汽集团,22482
2016-05,26,https://i.img16888.com/carlogo75/57772.gif,日本,马自达,19132
2016-05,27,https://i.img16888.com/carlogo75/126388.gif,中国,东风风行,18818
2016-05,28,https://i.img16888.com/carlogo75/58085.gif,中国,众泰,18498
2016-05,29,https://i.img16888.com/carlogo75/126546.gif,中国,北汽幻速,18264
2016-05,30,https://i.img16888.com/carlogo75/57636.gif,中国,金杯,17860
2016-05,31,https://i.img16888.com/carlogo75/126169.gif,中国,北京汽车,15762
2016-05,32,https://i.img16888.com/carlogo75/126179.gif,中国,北汽威旺,15299
2016-05,33,https://i.img16888.com/carlogo75/57571.gif,中国,海马,11936
2016-05,34,https://i.img16888.com/carlogo75/57733.gif,日本,铃木,11908
2016-05,35,https://i.img16888.com/carlogo75/57891.gif,中国,荣威,11805
2016-05,36,https://i.img16888.com/carlogo75/58074.gif,中国,中华,11440
2016-05,37,https://i.img16888.com/carlogo75/126073.gif,中国,启辰,9063
2016-05,38,https://i.img16888.com/carlogo75/57612.gif,美国,Jeep,8904
2016-05,39,https://i.img16888.com/carlogo75/57651.gif,美国,凯迪拉克,8729
2016-05,40,https://i.img16888.com/carlogo75/57477.gif,中国,东南,8473
2016-05,41,https://i.img16888.com/carlogo75/57474.gif,中国,东风风神,8316
2016-05,42,https://i.img16888.com/carlogo75/57710.gif,中国,力帆汽车,7746
2016-05,43,https://i.img16888.com/carlogo75/57301.gif,中国,奔腾,7271
2016-05,44,https://i.img16888.com/carlogo75/58064.gif,中国,一汽,7167
